2025-10-21 09:40:46,064 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.80 | Loss: 5.35%
2025-10-21 09:40:47,475 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.80 | Loss: 5.35%
2025-10-21 09:40:48,894 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.70 | Loss: 2.58%
2025-10-21 09:40:50,302 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.70 | Loss: 2.58%
2025-10-21 09:40:51,733 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.70 | Loss: 2.58%
2025-10-21 09:40:53,147 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.70 | Loss: 2.58%
2025-10-21 09:40:54,559 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.70 | Loss: 2.58%
2025-10-21 09:40:55,970 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.70 | Loss: 2.58%
2025-10-21 09:40:57,385 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.70 | Loss: 2.58%
2025-10-21 09:40:58,796 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.75 | Loss: 3.97%
2025-10-21 09:41:00,210 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.75 | Loss: 3.97%
2025-10-21 09:41:01,628 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.75 | Loss: 3.97%
2025-10-21 09:41:03,037 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.75 | Loss: 3.97%
2025-10-21 09:41:04,466 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.75 | Loss: 3.97%
2025-10-21 09:41:05,896 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.80 | Loss: 5.35%
2025-10-21 09:41:07,326 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.85 | Loss: 6.74%
2025-10-21 09:41:08,734 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.85 | Loss: 6.74%
2025-10-21 09:41:10,144 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.95 | Loss: 9.51%
2025-10-21 09:41:11,553 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.95 | Loss: 9.51%
2025-10-21 09:41:12,971 | INFO | Checking AMD   251024P00235000 | Qty: 20 | Cost: 3.61 | Bid: 3.95 | Loss: 9.51%
