2025-08-20 16:01:13,625 - INFO - Connecting to IBKR...
2025-08-20 16:01:13,625 - INFO - Connecting to 127.0.0.1:7497 with clientId 1...
2025-08-20 16:01:13,626 - INFO - Connected
2025-08-20 16:01:13,629 - INFO - Logged on to server version 176
2025-08-20 16:01:13,630 - INFO - Warning 2104, reqId -1: Market data farm connection is OK:usfarm.nj
2025-08-20 16:01:13,630 - INFO - Warning 2104, reqId -1: Market data farm connection is OK:usopt.nj
2025-08-20 16:01:13,630 - INFO - Warning 2104, reqId -1: Market data farm connection is OK:cashfarm
2025-08-20 16:01:13,630 - INFO - Warning 2104, reqId -1: Market data farm connection is OK:usopt
2025-08-20 16:01:13,631 - INFO - Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-08-20 16:01:13,631 - INFO - Warning 2106, reqId -1: HMDS data farm connection is OK:euhmds
2025-08-20 16:01:13,631 - INFO - Warning 2106, reqId -1: HMDS data farm connection is OK:fundfarm
2025-08-20 16:01:13,631 - INFO - Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2025-08-20 16:01:13,631 - INFO - Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefil
2025-08-20 16:01:13,631 - INFO - API connection ready
2025-08-20 16:01:13,633 - INFO - position: Position(account='DUN086112', contract=Option(conId=805157048, symbol='SPY', lastTradeDateOrContractMonth='20250820', strike=638.0, right='C', multiplier='100', currency='USD', localSymbol='SPY   250820C00638000', tradingClass='SPY'), position=10.0, avgCost=90.51145)
2025-08-20 16:01:13,633 - INFO - position: Position(account='DUN086112', contract=Option(conId=803406917, symbol='SPX', lastTradeDateOrContractMonth='20250820', strike=6355.0, right='C', multiplier='100', currency='USD', localSymbol='SPXW  250820C06355000', tradingClass='SPXW'), position=0.0, avgCost=0.0)
2025-08-20 16:01:13,734 - INFO - updatePortfolio: PortfolioItem(contract=Option(conId=803406917, symbol='SPX', lastTradeDateOrContractMonth='20250820', strike=6355.0, right='C', multiplier='100', primaryExchange='CBOE', currency='USD', localSymbol='SPXW  250820C06355000', tradingClass='SPXW'), position=0.0, marketPrice=40.09999845, marketValue=0.0, averageCost=0.0, unrealizedPNL=0.0, realizedPNL=-16634.74, account='DUN086112')
2025-08-20 16:01:13,734 - INFO - updatePortfolio: PortfolioItem(contract=Option(conId=805157048, symbol='SPY', lastTradeDateOrContractMonth='20250820', strike=638.0, right='C', multiplier='100', primaryExchange='AMEX', currency='USD', localSymbol='SPY   250820C00638000', tradingClass='SPY'), position=10.0, marketPrice=0.15, marketValue=150.0, averageCost=90.51145, unrealizedPNL=-755.11, realizedPNL=202.08, account='DUN086112')
2025-08-20 16:01:13,753 - INFO - execDetails Execution(execId='00020057.68a5a279.01.01', time=datetime.datetime(2025, 8, 20, 14, 52, 13, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='BOT', shares=10.0, price=9.2, permId=327819059, clientId=0, orderId=0, liquidation=0, cumQty=10.0, avgPrice=9.2, orderRef='OptionChain', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,754 - INFO - execDetails Execution(execId='00020057.68a5a2ae.01.01', time=datetime.datetime(2025, 8, 20, 14, 53, 16, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='SLD', shares=10.0, price=8.9, permId=327819062, clientId=1, orderId=34862, liquidation=0, cumQty=10.0, avgPrice=8.9, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,754 - INFO - execDetails Execution(execId='00020057.68a5a2d2.01.01', time=datetime.datetime(2025, 8, 20, 14, 53, 45, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='BOT', shares=10.0, price=8.7, permId=327819060, clientId=0, orderId=0, liquidation=0, cumQty=10.0, avgPrice=8.7, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,755 - INFO - execDetails Execution(execId='00020057.68a5a308.01.01', time=datetime.datetime(2025, 8, 20, 14, 54, 1, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='SLD', shares=10.0, price=8.0, permId=327819065, clientId=0, orderId=0, liquidation=0, cumQty=10.0, avgPrice=8.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,755 - INFO - execDetails Execution(execId='00020057.68a5a30f.01.01', time=datetime.datetime(2025, 8, 20, 14, 54, 9, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='BOT', shares=10.0, price=8.4, permId=327819068, clientId=0, orderId=0, liquidation=0, cumQty=10.0, avgPrice=8.4, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,755 - INFO - execDetails Execution(execId='00020057.68a5a4d5.01.01', time=datetime.datetime(2025, 8, 20, 14, 57, 52, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='SLD', shares=10.0, price=7.7, permId=327819074, clientId=1, orderId=35285, liquidation=0, cumQty=10.0, avgPrice=7.7, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,756 - INFO - execDetails Execution(execId='00020057.68a5aaad.01.01', time=datetime.datetime(2025, 8, 20, 15, 7, 43, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='BOT', shares=10.0, price=14.1, permId=327819071, clientId=0, orderId=0, liquidation=0, cumQty=10.0, avgPrice=14.1, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,756 - INFO - execDetails Execution(execId='00020057.68a5b149.01.01', time=datetime.datetime(2025, 8, 20, 15, 17, 6, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='SLD', shares=6.0, price=19.3, permId=327819077, clientId=0, orderId=0, liquidation=0, cumQty=6.0, avgPrice=19.3, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,756 - INFO - execDetails Execution(execId='00020057.68a5b14a.01.01', time=datetime.datetime(2025, 8, 20, 15, 17, 6, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='SLD', shares=4.0, price=19.3, permId=327819077, clientId=0, orderId=0, liquidation=0, cumQty=10.0, avgPrice=19.3, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,757 - INFO - execDetails Execution(execId='00020057.68a5b167.01.01', time=datetime.datetime(2025, 8, 20, 15, 17, 21, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='BOT', shares=10.0, price=18.5, permId=327819080, clientId=0, orderId=0, liquidation=0, cumQty=10.0, avgPrice=18.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,757 - INFO - execDetails Execution(execId='00020057.68a5bb2e.01.01', time=datetime.datetime(2025, 8, 20, 15, 25, 8, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='SLD', shares=3.0, price=26.9, permId=327819083, clientId=0, orderId=0, liquidation=0, cumQty=3.0, avgPrice=26.9, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,757 - INFO - execDetails Execution(execId='00020057.68a5bb2f.01.01', time=datetime.datetime(2025, 8, 20, 15, 25, 8, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='SLD', shares=7.0, price=26.3, permId=327819083, clientId=0, orderId=0, liquidation=0, cumQty=10.0, avgPrice=26.48, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,758 - INFO - execDetails Execution(execId='00020057.68a5bcf9.01.01', time=datetime.datetime(2025, 8, 20, 15, 27, 32, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='BOT', shares=2.0, price=27.1, permId=327819089, clientId=0, orderId=0, liquidation=0, cumQty=2.0, avgPrice=27.1, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1)
2025-08-20 16:01:13,758 - INFO - execDetails Execution(execId='00020057.68a5bcfb.01.01', time=datetime.datetime(2025, 8, 20, 15, 27, 33, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='BOT', shares=2.0, price=27.1, permId=327819089, clientId=0, orderId=0, liquidation=0, cumQty=4.0, avgPrice=27.1, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1)
2025-08-20 16:01:13,759 - INFO - execDetails Execution(execId='00020057.68a5bcfc.01.01', time=datetime.datetime(2025, 8, 20, 15, 27, 33, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='BOT', shares=6.0, price=27.1, permId=327819089, clientId=0, orderId=0, liquidation=0, cumQty=10.0, avgPrice=27.1, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1)
2025-08-20 16:01:13,759 - INFO - execDetails Execution(execId='00020057.68a5be02.01.01', time=datetime.datetime(2025, 8, 20, 15, 30, 46, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='SLD', shares=2.0, price=25.0, permId=327819093, clientId=1, orderId=37623, liquidation=0, cumQty=2.0, avgPrice=25.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
2025-08-20 16:01:13,759 - INFO - execDetails Execution(execId='00020057.68a5be05.01.01', time=datetime.datetime(2025, 8, 20, 15, 30, 46, tzinfo=datetime.timezone.utc), acctNumber='DUN086112', exchange='CBOE', side='SLD', shares=8.0, price=25.0, permId=327819093, clientId=1, orderId=37623, liquidation=0, cumQty=10.0, avgPrice=25.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2)
